order,id,urban_rural,landuse_id,landuse_description,label,clf
37,10094357,1,6,IREJA MUNDIAL DO PODER DE DEUS,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",snorkel
38,8640646,1,6,CENTRO RELIGIOSO,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",snorkel
39,9628654,1,6,IGREJA PENTECOSTAL ADORACAO DE DEUS,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",snorkel
40,9956409,1,6,LOJA DE CONFECCOES RELENE MODAS,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,snorkel
41,9611996,1,6,RELOJOARIA DO ARNO,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,snorkel
42,5142059,1,6,COMERCIO DE JOIAS E BIJOUTERIAS,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,snorkel
43,3854513,1,6,NICE JOIAS,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,snorkel
44,6911527,1,6,SILVIA FAE CALCADOS E ACESSORIOS,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,snorkel
45,8892209,1,6,ROUPA INFANTIL,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,snorkel
46,1482546,1,6,VENDAS DE CONFECCOES,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,snorkel
47,7488222,1,6,LOJA DE ARTESANATO,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,snorkel
48,2044948,1,6,LOJA HERBUS CONFECCOES,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,snorkel
49,10774966,1,6,CALCADOSFEMININOS,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,snorkel
50,1077447,1,6,ASSOCIACAO DO MEIO AMBIENTE,OUTRAS ATIVIDADES DE SERVIÇOS,snorkel
51,5722487,1,6,CABELEREIRO BORGES,OUTRAS ATIVIDADES DE SERVIÇOS,snorkel
52,9095028,1,6,NIL CABELEREIROS,OUTRAS ATIVIDADES DE SERVIÇOS,snorkel
53,11254824,1,6,SALAO DE BELEZA ATILLA THAYNE CABELEIREI,OUTRAS ATIVIDADES DE SERVIÇOS,snorkel
54,4698378,1,6,SALAO DO PAULINHO CABELEREIRO,OUTRAS ATIVIDADES DE SERVIÇOS,snorkel
55,7747687,1,6,ATELIE DE COSTURA,OUTRAS ATIVIDADES DE SERVIÇOS,snorkel
56,3675056,1,6,SALAO CASAL,OUTRAS ATIVIDADES DE SERVIÇOS,snorkel
57,9662735,1,6,SALA COML ROBOTER IN,OUTRAS ATIVIDADES DE SERVIÇOS,snorkel
58,5509266,1,6,SALAO DE VELORIO,OUTRAS ATIVIDADES DE SERVIÇOS,snorkel
59,6692074,1,6,SALAO DE CABELELEIRO,OUTRAS ATIVIDADES DE SERVIÇOS,snorkel
60,6703888,1,5,CONSULTORIO CIRURGIA DIGESTIVA,SAÚDE HUMANA E SERVIÇOS SOCIAIS,snorkel
61,8195409,1,5,HOSPITAL SANTA MARINA,SAÚDE HUMANA E SERVIÇOS SOCIAIS,snorkel
62,5758853,1,5,PSF,SAÚDE HUMANA E SERVIÇOS SOCIAIS,snorkel
63,6325500,1,6,CONSULTORIO DENISTA,SAÚDE HUMANA E SERVIÇOS SOCIAIS,snorkel
64,672836,1,6,HOSPITAL SANTA TEREZINHA FISIOTERAPIA,SAÚDE HUMANA E SERVIÇOS SOCIAIS,snorkel
65,5022072,1,5,LABORATORIO HEMOLAB ANALISE CLINICA,SAÚDE HUMANA E SERVIÇOS SOCIAIS,snorkel
66,7431855,1,5,LABORATORIO SANTA ISABEL,SAÚDE HUMANA E SERVIÇOS SOCIAIS,snorkel
67,6439934,1,6,SALA DE CONSULTA DO CENTRO FISIOTERAPEUT,SAÚDE HUMANA E SERVIÇOS SOCIAIS,snorkel
68,7742776,1,6,CLINICA FISIOTERAPIA,SAÚDE HUMANA E SERVIÇOS SOCIAIS,snorkel
69,3852907,1,6,CONSULTORIO OFTOMO,SAÚDE HUMANA E SERVIÇOS SOCIAIS,snorkel
70,8525418,1,6,MINISTERIO DA FE CRISTA,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",snorkel
71,7452433,1,6,CAMARA MUNICIPAL DE MAUA,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",snorkel
72,10638526,1,6,DETRAN,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",snorkel
73,10857160,1,4,ESCOLA MUNICIPAL PROF ERENICE S ALVARENG,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",snorkel
74,985018,1,6,PREFEITURA MNUNICIPAL,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",snorkel
75,3497739,2,4,ESCOLA MUNICIPAL DR JAIRO,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",snorkel
76,7400178,1,6,CONTRUTORA CIVIL,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",snorkel
77,6624604,1,6,IGREJA MINISTERIO APOSTOLICO NOVA ALIANC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",snorkel
78,1897435,1,6,ASSEMBLEIA DE DEUS MINISTERIO FORTALEZA,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",snorkel
79,6904227,1,6,JUNTA MILITAR,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",snorkel
80,8635427,1,6,RESTAURANTE DE COMIDA CASEIRA,- ALIMENTAÇÃO,snorkel
81,4199117,2,6,VENDA DE BEBIDAS,- ALIMENTAÇÃO,snorkel
82,6058055,1,6,LOJA DE VENDA DOCES,- ALIMENTAÇÃO,snorkel
83,2831096,1,6,DEPOSITO DA PADARIA E PASTELARIA MIRAMAR,- ALIMENTAÇÃO,snorkel
84,4585723,1,6,BAR DO ZE GOMES,- ALIMENTAÇÃO,snorkel
85,5246968,1,6,LANCHONETE EMPADA,- ALIMENTAÇÃO,snorkel
86,9187214,1,6,PIZZARIA O PIZZAIOLO,- ALIMENTAÇÃO,snorkel
87,4336206,2,6,QUILOMBO DA MORENA BAR,- ALIMENTAÇÃO,snorkel
88,312058,1,6,PADARIA DE SALGADOS,- ALIMENTAÇÃO,snorkel
89,4461756,1,6,RESTAURANTE SALMON,- ALIMENTAÇÃO,snorkel
90,4519050,1,6,STUDIO DE YOGA,NÃO DEFINIDO,snorkel
91,176279,1,6,LOJINHA,NÃO DEFINIDO,snorkel
92,3250126,1,6,VITORIA GAMES,NÃO DEFINIDO,snorkel
93,10915517,1,6,SOVETERIA,NÃO DEFINIDO,snorkel
94,4560502,1,6,LEUGIM,NÃO DEFINIDO,snorkel
95,6055424,1,6,CURSO DE IDIOMAS,NÃO DEFINIDO,snorkel
96,1973898,1,6,LAVAJATO,NÃO DEFINIDO,snorkel
97,7871681,1,6,SERVICO PORTUARIO,NÃO DEFINIDO,snorkel
98,512882,1,6,CASA,NÃO DEFINIDO,snorkel
99,3629851,1,6,SERRARIA,NÃO DEFINIDO,snorkel
100,2007213,1,6,BANCA DE JOGO DO TIU,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",snorkel
101,8436058,1,6,ACADEMIA TAEKWONDO,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",snorkel
102,7345912,1,6,CLUBE,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",snorkel
103,6370816,1,6,ACADEMIA DE GINASTICA RICARDO BENEVIDES,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",snorkel
104,7282019,1,6,SEDE SOCIAL ALIADOS F C,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",snorkel
105,3734656,1,6,QUIOSQUI DA PRACA GABRIEL MOREIRA,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",snorkel
106,8550475,1,6,TEATRO DO BAIRRO,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",snorkel
107,4094078,1,6,ACADEMIA DE DANCA JEANE ARGOLO,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",snorkel
108,10118977,1,6,GRAMADO TENIS CLUB,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",snorkel
109,2667428,1,6,FUNDOS DO CINEMA,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",snorkel
110,11255715,1,6,GALPAO FECHADO,DESOCUPADO,snorkel
111,9673504,2,6,ANTIGO BAR DO POPO,DESOCUPADO,snorkel
112,6296367,1,6,DESOCUPADA,DESOCUPADO,snorkel
113,2067121,1,6,PONT COMERC VAGO,DESOCUPADO,snorkel
114,1188148,1,6,PONTO COMECIAL VAGO,DESOCUPADO,snorkel
115,11007134,1,6,DEPOSITO FECHADO,DESOCUPADO,snorkel
116,3639705,2,6,ESCOLA VAGA,DESOCUPADO,snorkel
117,8492954,1,6,VAZIO,DESOCUPADO,snorkel
118,4836679,1,6,COMODO COMERCIAL FECHADO,DESOCUPADO,snorkel
119,9165622,1,6,PREDIO VAGO,DESOCUPADO,snorkel
120,7038743,1,6,SACOLAO POMAR,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",snorkel
121,3457202,1,6,ACOUGUE CARNEIRO,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",snorkel
122,6517426,1,6,SACOLAO DO LUIZ,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",snorkel
123,5271035,1,6,ACOUGUE DO MANELAO,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",snorkel
124,981476,1,6,SACOLAO J E,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",snorkel
125,5650952,1,6,PADARIA NOVO PAO,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",snorkel
126,6093505,1,6,ACOUGUE DO RIO,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",snorkel
127,4563682,1,6,BOA SAFRA CARNES BOVINA,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",snorkel
128,437045,1,6,PANIFICADORA TEXEIRA,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",snorkel
129,9644322,1,6,PADARIA E CONFEITARIA TRIGO DOURADO,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",snorkel
130,8972067,1,6,LOJA MACONICA,- COMÉRCIO VAREJISTA,snorkel
131,7068358,1,6,LOJA CENTER BRINK,- COMÉRCIO VAREJISTA,snorkel
132,6202844,1,6,MANUTENCAO E VENDA DE VALVULAS E EQUIP,- COMÉRCIO VAREJISTA,snorkel
133,6643206,1,6,LOJA DE ANTENAS,- COMÉRCIO VAREJISTA,snorkel
134,1451232,1,6,COMERCIO VAREJISTA,- COMÉRCIO VAREJISTA,snorkel
135,10656698,1,6,SALAO COMERCIAL,- COMÉRCIO VAREJISTA,snorkel
136,4376805,1,6,COMERCIO DE PRODUTOS ALIMENTICIOS,- COMÉRCIO VAREJISTA,snorkel
137,11262089,1,6,ALPHA LOJA DE CONVENIENCIA,- COMÉRCIO VAREJISTA,snorkel
138,4449372,1,6,LOJA PURO PANO,- COMÉRCIO VAREJISTA,snorkel
139,293627,1,6,VENDA DE FRUTAS,- COMÉRCIO VAREJISTA,snorkel
140,3039598,1,6,MERCEARIA DO SEU IVO,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",snorkel
141,1913395,2,6,ARMAZEN,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",snorkel
142,1666069,1,6,MERCEARIA GENEROS DIVERSOS,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",snorkel
143,3181612,1,6,MINE MERCEARIA DA VAL,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",snorkel
144,10721701,1,6,MERCADO SOARES,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",snorkel
145,162406,1,6,MERCADINHO DA ARTE,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",snorkel
146,10687117,1,6,MERCADO CAMPO BELO,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",snorkel
147,3212458,1,6,MERCEARIA DO BADU,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",snorkel
148,1799386,1,6,MERCEARIA FRANCINEIDE,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",snorkel
149,1037828,2,6,MERCEARIA DE  PRODUTOS ALIMENTICIOS,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",snorkel
150,3276529,2,4,ESCOLA MUN BRAULIO DIAS DO SOCORRO,EDUCAÇÃO,snorkel
151,6666407,1,4,SENAI,EDUCAÇÃO,snorkel
152,8630140,1,6,ESCOLA INFANTIL SONHO DE CRANCA,EDUCAÇÃO,snorkel
153,677153,1,6,ESCOLA PARTICULAR DE ENSINO MEDIO E INF,EDUCAÇÃO,snorkel
154,4907734,2,4,GRUPO ESCOLAR,EDUCAÇÃO,snorkel
155,6931325,1,4,ESCOLA ESTADUAL,EDUCAÇÃO,snorkel
156,2133287,2,4,CRECHE COMUNITARIA,EDUCAÇÃO,snorkel
157,8113138,1,6,ESCOLINHA EVANGELICA,EDUCAÇÃO,snorkel
158,5382324,1,4,COLEGIO SANTISSIMO SACRAMENTO,EDUCAÇÃO,snorkel
159,10149826,1,4,ESCOLA ESTADUAL DE NIVEL MEDIO BERTHALIN,EDUCAÇÃO,snorkel
160,7223100,2,6,INDUSTRIA DE PALMITO EM CONSERVA,INDÚSTRIAS DE TRANSFORMAÇÃO,snorkel
161,10406595,1,6,FABRICA DE LINGUICA,INDÚSTRIAS DE TRANSFORMAÇÃO,snorkel
162,1652912,1,6,FABRICA DE CAMISAS,INDÚSTRIAS DE TRANSFORMAÇÃO,snorkel
163,9975199,1,6,ESCRITORIO DE CASAS PRE FABRICADAS,INDÚSTRIAS DE TRANSFORMAÇÃO,snorkel
164,8363825,1,6,INDUSTRIA RC  TEC,INDÚSTRIAS DE TRANSFORMAÇÃO,snorkel
165,9801212,1,6,CONFECCAO DE ESTOPA,INDÚSTRIAS DE TRANSFORMAÇÃO,snorkel
166,9789766,1,6,CONFECCAO,INDÚSTRIAS DE TRANSFORMAÇÃO,snorkel
167,8559972,1,6,CONFECCAO DE SACOLA PLASTICAS,INDÚSTRIAS DE TRANSFORMAÇÃO,snorkel
168,7071635,2,6,RDM CONFECCOES,INDÚSTRIAS DE TRANSFORMAÇÃO,snorkel
169,7431258,1,6,FABRICA,INDÚSTRIAS DE TRANSFORMAÇÃO,snorkel
170,17964,2,6,BERCAL,- TRANSPORTE AQUAVIÁRIO,snorkel
171,10261247,1,6,BRIC RAFO,- TRANSPORTE AQUAVIÁRIO,snorkel
172,10497450,1,6,ATELIER DE COURO BOLSA,- TRANSPORTE AQUAVIÁRIO,snorkel
173,7451844,1,6,SALAO BIAS,- TRANSPORTE AQUAVIÁRIO,snorkel
174,431348,2,6,BARACA DE GUARDAR BAGULHO,- TRANSPORTE AQUAVIÁRIO,snorkel
175,10245586,1,6,DEM BAS EMBALAGENS,- TRANSPORTE AQUAVIÁRIO,snorkel
176,6591814,1,6,VELA DE BARCO,- TRANSPORTE AQUAVIÁRIO,snorkel
177,10681578,1,6,BOLSA BRASILEIRA DE CEREAIS,- TRANSPORTE AQUAVIÁRIO,snorkel
178,9533498,1,6,PARA BARCO,- TRANSPORTE AQUAVIÁRIO,snorkel
179,360794,1,6,BRACOL HIGIENE PROFISSIONAL,- TRANSPORTE AQUAVIÁRIO,snorkel
180,5643460,1,6,LAN HOUSE W NETCOM,INFORMAÇÃO E COMUNICAÇÃO,snorkel
181,1350949,1,6,LAN HOUSE,INFORMAÇÃO E COMUNICAÇÃO,snorkel
182,6743982,1,6,COMUNICACAO VISUAL,INFORMAÇÃO E COMUNICAÇÃO,snorkel
183,9399244,1,6,CONCERTO TV ELETRONICA,INFORMAÇÃO E COMUNICAÇÃO,snorkel
184,4682679,1,6,CARANDAI RADIO ELETRO,INFORMAÇÃO E COMUNICAÇÃO,snorkel
185,4523190,1,6,4 COMPANHIA DE COMUNICACOES,INFORMAÇÃO E COMUNICAÇÃO,snorkel
186,7816426,1,6,MICRO MANIA NET,INFORMAÇÃO E COMUNICAÇÃO,snorkel
187,9410029,1,6,LOJA DE INFORMATICA NINO INFORMATICA LTA,INFORMAÇÃO E COMUNICAÇÃO,snorkel
188,8092723,1,6,EMPRESA GRAFICA,INFORMAÇÃO E COMUNICAÇÃO,snorkel
189,6967881,1,6,LANHOUSE,INFORMAÇÃO E COMUNICAÇÃO,snorkel
190,153684,1,6,SUPERMERCADO VAREJAO BUJARI,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",snorkel
191,4151547,1,6,SUPERMECADO SUPERDELI,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",snorkel
192,1410997,1,6,SUPERMERCADO PONTO CERTO,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",snorkel
193,8730207,1,6,SUPERMERCADO EURO,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",snorkel
194,3023162,1,6,SUPERMECADO,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",snorkel
195,9338124,1,6,DEPOSITO  DO SUPER MERCADO ELDORADO,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",snorkel
196,4981218,1,6,BRETAS SUPERMERCADO,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",snorkel
197,11361649,1,6,SUPERMERCADO BEM VINDO,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",snorkel
198,673422,1,6,SUPERMERCADO SUL CARAJAS,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",snorkel
199,5022472,1,6,SUPERMERCADO D JULIA,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",snorkel
200,7720219,2,3,PASTAGEM,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",snorkel
201,9391181,2,3,CEBOLA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",snorkel
202,202774,2,3,CULTIVO DE MALVA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",snorkel
203,224873,2,3,ROCA DE FARINHA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",snorkel
204,9451951,2,3,PARREIRA E ENGORDA DE BOVINOS,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",snorkel
205,4871532,2,3,LAVOURA DE MORANGO DO JAIR,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",snorkel
206,2649107,2,3,GRANJA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",snorkel
