order,urban_rural,landuse_id,landuse_description,manual_label
341878,1,6,A CAL SERIDO,
385078,1,6,A CASA DO BOLO,
441381,1,6,A CASA DO GESSO,
463725,1,6,A CASA DO LADO COMPROU E AS JUNTOU,
395918,1,6,A CASA DO SERRALHEIRO,
551543,1,6,A CASA DOS MOVEIS,
309755,1,6,A CASA ESTA SITUADA NA RUA JOSE BITTENCO,
165092,1,6,A CASINHA,
178134,1,6,A COLEGIAL CALSADOS,
118949,1,6,A COM COMPUTADORES,
522829,1,6,A COMERCA REGIONAL,
553209,1,6,A CONCEPT IN FASHION LOJA DE ROUPAS,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
4690,1,6,A COOPERFIL,
440486,1,6,A COSTA EMPREENDMENTOS,
201499,1,6,A COZINHA DA CASA,- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO
219947,1,6,A CREDINORTE,
81074,1,6,A CREDINORTE MOVEIS,- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO
267361,1,6,A CREDINORTR MOVEIS,- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO
297804,1,6,A CRIACAO,
316405,2,3,A CRIACAO DE GADO,
324794,1,6,A CUTIA LOTERIAS,
190412,1,6,A D ANGELO TEXTEIS ME CONFECCAO,
258942,1,6,A D GRAFICA,
364353,1,6,A DATALINK,
373249,1,4,A DE EDUCACAO INFANTIL,
440945,1,6,A DEFINIR,
188686,1,6,A DIA AR CONDICIONADO,
25365,1,6,A DIOGO COMERCIO DE FERRAGENS LTDA,
293018,1,6,A E A LOCACAO DE MESAS,
158597,1,6,A E A MODAS,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
378945,1,6,A E B PAPELARIA,"- - COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS, RECREATIVOS E ESPORTIVOS"
528477,1,6,A E C CONTABILIDADE,
396329,1,6,A E M ADEGA RIO GRANDE,
71031,1,6,A E M COERCIAL DE BEBIDAS,
228324,1,6,A E M DIGITAL,
66291,1,6,A E N MODAS,
356407,1,6,A ECONOMICA TECIDOS,
470536,1,6,A EFICAZ COBRANCA LTDA,
163673,1,6,A ESCOLAR,
290320,1,6,A ESTUDANTIL CENTRAL DE COPIAS,
401586,1,6,A EVANGELICA CONFECCOES,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
503297,1,6,A F COMERCIO MATEIAL CONSTRUCAO,- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO
343717,1,6,A FANTASTICA UTILITARIOS,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
280898,1,6,A FAVORITA CONFECCOES,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
271650,1,6,A FAVORITA PRESENTES,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
562104,1,6,A FAZENDINHA,
396097,1,6,A FEDERAL,
9297,1,6,A FESTIVA BOMBONIERE,
345858,1,6,A FLOR DO PRADO,
487429,1,6,A FRIGOCARNE,
536356,1,6,A FRUTEIRA,
58746,1,6,A G DISTRIBUIDORA,
298156,1,6,A G M USINAGEM S ESPECIAIS,
324395,1,6,A G MODAS LOJA DE ROUPAS,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
211312,1,6,A GRAVATAENSE,
505553,1,6,A GULOSINHA SANDUICHES E MASSAS,
499600,1,6,A HIDROELETRICA,ELETRICIDADE E GÁS
158198,1,6,A IDEAL TECIDOS,
270511,1,6,A IGREJA DE JESUS CRISTO DOS SANTOS DOS,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS"
71820,1,6,A IGREJA DO NAZARENO,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS"
130984,1,6,A IGREJA GEDEOES DE CRISTO,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS"
270135,1,6,A IGREJA QUE ESTA EM RESTAURACAO ATOS DE,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS"
101229,1,6,A IMPERATRIZ,
82122,1,6,A INFANTIL TEEN,
162031,1,6,A ITALIANINHA,
156939,1,6,A J DESIGN CABELOS,
461703,1,6,A J GAMES,
112181,1,6,A J MARIANO IMOVEIS,
559753,1,6,A J NORO ELETRONICA,- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO
200557,1,6,A JAPONESA,
355249,1,6,A JOVEM LAR DEPOSITO,
572027,1,6,A KOZZINHA,- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO
460352,1,6,A L ALMEIDA,
563922,1,6,A L PRESENTES E CONFECCOES,
111540,1,6,A L V MATERIAL DE CONSTRUCAO,- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO
347344,1,6,A LINHA CAR CHAPEAMENTO,
474431,1,6,A LOJA DO DEZ A MEXE REMEXE,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
182559,1,6,A LOJINHA,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
91544,1,6,A M CONFECCOES,
331793,1,6,A MAIS COMUNICACAO VISUAL,
23457,1,6,A MALUQUINHA,
153903,1,6,A MENDES IMOVEIS,
321146,1,6,A MESMA CASA,
193056,1,6,A MESMA CASA 712,
341511,1,6,A MESMA CASA A  B,
222222,1,6,A MESMA CASA DA APERE 806,
455209,1,6,A MESMA CASA DA RUA AO LADO,
72445,1,6,A MESMA CASA DE NUM 69 USO OCASIONAL,
29746,1,6,A MESMA CASA DO N 118 DA MENDONCA JUNIOR,
393833,1,6,A MESMA LAN HAUSE,
394804,1,6,A MESMA LOJA DO NMERO 920,
118105,1,6,A MILIMETRICA,
416714,1,6,A MISCELANIA,
38246,1,6,A MISCLANIA ARMARINHO E PAPELARIA,- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO
365344,1,6,A MISS ALINE LOJA ROUPAS FEMININA,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
188489,1,6,A MODELAR,
503694,1,6,A MODELINE,
237851,1,6,A MORENSE LOTERIAS,
495554,1,6,A MUNDIAL PINTURA,
414038,1,6,A MUSICAL,
159761,1,6,A NORDESTINA,
527843,1,6,A NOSSA CASA,
224417,1,6,A NOSSA LOJA,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
560069,1,6,A NOVA LOJA,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
37302,1,6,A NUMERO UM DO ESPORTE,
150943,1,6,A OCULISTA,
83885,1,6,A OURO TINTAS,
68448,1,6,A OUTRA FACE FASHION MODAS,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
225685,1,6,A P CABELOS,
535050,1,6,A PAULISTANA CONFECCOES,
399944,2,6,A PEREIRA MANHAES CENTER,
60314,1,6,A PERSEVERANCA,
288760,1,6,A PIONERA MOVEIS,- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO
147454,1,6,A PIZZA COM EXPRESS,
112686,1,6,A PODEROSA,
388621,1,6,A POPULAR CONFECCOES,
323660,1,6,A POTENCIA INFORMATICA,
236026,1,6,A PREDILETA TECIDOS,
395744,1,6,A PREFERIDA,
511324,1,6,A PRESTATIVA,
397928,1,6,A PRIMAVERA,
427167,1,6,A PRINCEZINHA LOJA DE ROUPAS,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
373525,1,6,A QUESTAO SERVICO,
394379,1,6,A QUITANDINHA,
430420,1,6,A QUITUTEIRA,
499536,1,6,A R A MARCENARIA,
131193,1,6,A R COMERCIAL,
423715,1,6,A R L S FRATENIDADE CAMPINEIRA,
251813,1,6,A RADIO CASA NOVA FM,
48881,1,6,A REAL TATTOO,
246712,1,6,A RIGOR ALUGUEL DE ROUPAS,
203627,1,6,A S R ELETR GAMES,
499339,1,6,A SALVADORA,
203375,2,3,A SEDE DE PISCICULTURA,
230680,1,6,A SER ALUGADOANTIGO ESTABELECIMENTO DE E,
278127,1,6,A SERTANEJA,
231975,1,6,A SHCEFER UTILIDADES,
30382,1,6,A SOBERANO,
26636,1,6,A SU SALUD DANCA SAUDE E MOVIMENTO,
411275,1,6,A TAVARES COLCHAO,
85074,1,6,A TECNICA,
415948,1,6,A VELOZ DIST DE PECAS ELETRICAS,
268433,1,6,A VENCEDORA,
414258,1,6,A VENDA,
334294,1,6,A VENDA SEM DENOMINADAO,
266246,1,6,A VER,
279254,1,6,A VEREDALANCHONETE BOCA D,
8727,1,6,A VIA PIZZA RESTAURANTE SELF SERVICE,
331436,1,6,A VIANA DA SILVA CURSO LIVRE C N A,
380699,1,6,A VIRGEM CONFECCOES,
161365,1,6,A VOZ DO TAQUARI VAGO,
443782,1,6,A1 IMPRESSAO DIGITAL,
312618,1,6,A3 INDUSTRIA TEXTIL,
283590,1,6,A4 RECUPERADORA,
26109,1,6,A4 SERVICOS,
380552,1,6,AA,
243265,1,6,AA MENEZES BARROS,
57933,1,6,AA SEGUNDA IGREJA BATISTA EM PAR ESTORIL,
106111,1,6,AAA,
504837,1,6,AAAAAAA,
340569,1,6,AAAD     DIANA,
288147,1,6,AAANSEERVIPL,
25462,1,6,AABASTECIMENTO DE AGUA,
40344,2,6,AABB,
26824,1,6,AABB ASSOCIACAO ATLETICA DO BANCO DO BRA,
232799,1,4,AABB COMUNIDADE,
472653,1,6,AACADEMI,
72745,1,6,AACOSAC,
217084,1,6,AACSASSOCIACAO DOS AGENTES COMUNITARIOS,
423864,1,6,AAEMIA RAIA LIVRE,
73821,1,6,AALA0,
436452,1,6,AALAO DE BELEZ,
575150,1,6,AALAO DE BELEZA,
238,1,6,AAOFICIN,
209494,1,6,AAPCC,
406386,1,6,AAPERGS,
330950,2,3,AATIVIDADES AGROECUARIAS,
256040,1,6,AAUTO ELETRIC,
276905,1,6,AAUTO PECAS PIRAJUSSA,
447487,1,6,AAVR,
342342,1,6,AB CURSOS PREV,
89198,1,6,AB FLEX,
171353,1,6,AB0 ASSOCIACAO BRASILEIRA DE ODONTOLOGIA,
316776,1,6,ABA FILM,
234568,1,6,ABA IMOVEIS,
135408,1,6,ABABDONADO,DESOCUPADO
453524,1,6,ABACATINHO REFRIGERANTES,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO"
160458,2,3,ABACAXI,
164936,1,6,ABACOS CONABILIDADE,
200758,1,6,ABAETE COSMETICOS,
116055,1,6,ABAETE PLACAS,
311451,2,3,ABAIA DE CAVALOS E BOI,
160635,1,6,ABAMDPNADO,DESOCUPADO
23812,1,6,ABANDONADA,DESOCUPADO
282514,2,4,ABANDONADA,DESOCUPADO
73814,1,6,ABANDONADO,DESOCUPADO
249983,2,3,ABANDONADO,DESOCUPADO
50615,1,6,ABANDONADO FECHADO,DESOCUPADO
103915,1,6,ABAP,
433511,1,6,ABAREDOURO,
552244,1,6,ABARRACA DE GULOSEIMAS E TIARAS PARA CAB,
160232,1,6,ABAS CONSTRUCOES,CONSTRUÇÃO
114721,1,6,ABASE TELECON,INFORMAÇÃO E COMUNICAÇÃO
217263,1,6,ABASSA DE VEMANJA CONSULTA ESPIRITUAL,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS"
137606,1,6,ABASTECEDOR COMBUSTIVEL LOMBA GRANDE,- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES
341324,1,6,ABASTECEDORA COMBUSTIVEIS,- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES
296118,2,6,ABASTECEDORA DE AGUA,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO"
430255,1,6,ABASTECEDORA DE BOMBAS BERKEN,
27602,1,6,ABASTECEDORA DE COMBUSTIVEIS,- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES
383971,1,6,ABASTECEDORA PONTE SECA IPIRANGA,
48729,1,6,ABASTECIMENTO DE AGUA,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO"
312734,1,6,ABASTECIMENTO DE AGUA DO MUNICIPIO DE PO,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO"
335361,1,6,ABASTECIMENTO DE AGUA MUNICIPAL,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO"
115621,1,6,ABASTECIMENTO DE AGUA PUBLICA MUNICIPAL,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO"
36197,1,6,ABASTECIMENTO DE AGUA SABESP,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO"
351017,1,6,ABASTECIMENTO DE CARNE,
480880,1,6,ABASTECIMENTO DE COMBUSTIVEL E LACHONETE,- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES
48801,1,6,ABATE,INDÚSTRIAS DE TRANSFORMAÇÃO
487421,2,6,ABATE BOVINOS,INDÚSTRIAS DE TRANSFORMAÇÃO
444000,1,6,ABATE DE FRANGO,INDÚSTRIAS DE TRANSFORMAÇÃO
178871,2,6,ABATE DE GADO E PORCOS,INDÚSTRIAS DE TRANSFORMAÇÃO
181245,2,6,ABATE DE GADO E SUINOS,INDÚSTRIAS DE TRANSFORMAÇÃO
151824,1,6,ABATEDEIRA KI AVES,INDÚSTRIAS DE TRANSFORMAÇÃO
63812,2,6,ABATEDOR,INDÚSTRIAS DE TRANSFORMAÇÃO
10987,1,6,ABATEDOR 2 IRMAOS,INDÚSTRIAS DE TRANSFORMAÇÃO
183982,2,6,ABATEDOR DE ANIMAIS,INDÚSTRIAS DE TRANSFORMAÇÃO
