ordem,uf,municipality,district,sub_district,urban_rural,landuse_id,landuse_description,categoria_cnae,dúvidas,CNAE
154624,29,15106,5,0,1,6,0FICINA DE CARRO,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
244852,15,1402,55,0,1,6,0FICINA DE ESTOFADO,,,
365921,35,48708,5,0,1,6,0FICINA DE FUNILARIA,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
537258,26,7901,5,0,1,6,0FICINA DE MAQUINAS DE MUSULACAO,,,
102427,27,4302,5,11,1,6,0FICINA DE MOTO E BICICLETA,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
496417,15,4208,5,0,1,6,0FICINA DE MOTOCICLETA,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
100801,52,20207,5,0,1,6,0FICINA DE MOTOCICLETA E BICICLETA,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
504050,41,6902,5,2,1,6,0FICINA DE MOTORES ELETRICOS,,,
268111,50,2704,5,9,1,6,0FICINA DE MOTOS,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
200979,31,45604,5,0,1,6,0FICINA DE RADIADORES,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
300932,29,27408,5,22,1,6,0FICINA DE VEICULOS,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
146897,35,48906,5,0,1,6,0FICINA DO ELIO GONCALVES,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
188193,51,6307,5,0,1,6,0FICINA DO SEVERINO,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
576986,33,4557,5,30,1,6,0FICINA ELETRCISTA DE AUTO,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
57180,35,38808,5,0,1,6,0FICINA FUGIKAWA,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
111097,35,40705,5,0,1,6,0FICINA GERAL,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
406845,43,14902,5,0,1,6,0FICINA HIDRULICA PARA CONCERTOS DE MAQU,,,
567920,35,50308,38,0,1,6,0FICINA JM,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
554800,33,3500,5,18,1,6,0FICINA LATERNAGEM,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
364595,33,4409,5,0,1,6,0FICINA MAYQUINH0,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
381030,35,2804,5,0,1,6,0FICINA MEANICA,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
506639,26,16407,5,0,1,6,0FICINA MECAMICA DE CARRO,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
10743,42,17600,5,0,1,6,0FICINA MECANICA,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
470633,31,15300,5,0,1,6,0FICINA MECANICA CONSERTO DE CARRO,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
571251,43,1305,5,0,1,6,0FICINA MECANICA DE AUTOMOVEIS,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
160266,35,1608,5,0,1,6,0FICINA MECANICA DE AUTOS,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
141121,15,107,5,0,1,6,0FICINA MECANICA DE BICICLETA,,,
472213,53,108,5,15,1,6,0FICINA MECANICA DE CARROS,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
394274,32,607,5,0,1,6,0FICINA MECANICA VIDACAR,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
515079,33,4557,5,39,1,6,0FICINA MECANICA WR,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
491400,29,26004,5,0,1,6,0FICINA MOTO,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
253735,15,1402,55,0,1,6,0FICINA MOVEIS,,,
546926,43,11007,5,0,1,6,0FICINA PONTE,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
64478,21,3406,5,0,1,6,0FICINA REIS LIMA,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
152227,29,9307,5,0,2,6,0IGREJA NOSSA SENHORA APARECIDA,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
511536,43,4507,5,0,2,6,0LARIA,INDÚSTRIAS DE TRANSFORMAÇÃO,,
479143,53,108,5,15,1,6,0PCOES CONSERTOS,,,
274870,43,17509,42,0,2,3,0PLANTASAO DE SOJA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",,
525763,35,19071,5,0,1,6,0PTICA MEGANE,"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",,
65516,31,24807,5,0,1,6,0RGAO ASSISTENCIA PRODUTOR RURAL,,,
163307,35,9007,5,0,1,5,0RION CENTRO MEDICO,SAÚDE HUMANA E SERVIÇOS SOCIAIS,,
458729,51,7602,5,0,1,6,0RQUIDARIO,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",,
63328,22,9302,5,0,2,3,0RTICULTURA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",,
473908,43,10876,5,0,2,3,0RTIFRUTI GRANJERO DO EUZEBIO,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",,
292109,29,5909,5,0,1,6,0TICAS ORIENT,"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",,
249339,31,18601,5,26,1,4,1 2 3 PERIODO E PRE,,,
24865,35,6003,5,0,1,6,1 99 VENDAS EM GERAL,,,
132764,35,18404,5,0,1,6,1 ANDAR E ESTUDIO DE TATUAGEM,,,
262759,43,18614,5,0,2,3,1 AVIARIO,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",,
77537,43,18614,5,0,2,3,1 AVIARIO CHIQUEIRO,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",,
280156,25,5105,5,0,1,6,1 CARTORIO DE NOTAS,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,,
444,35,50308,37,0,1,6,1 CASA APENAS,,,
493234,11,64,5,0,2,3,1 CASA AS ESQUERDA DEPOIS DA SEGUNDA EIX,,,
523690,35,50902,5,0,2,3,1 CASA E 1 CURRAL,,,
258142,21,5963,5,0,2,6,1 CASA QUE SERVE COMO DEPOSITO,,,
425410,35,50308,37,0,1,6,1 CASA SOMENTE,,,
493148,35,54102,5,0,2,3,1 CAVALO PARA USO PROPRIO,,,
259702,29,23803,5,0,2,3,1 CERCADO DE OVELHAS 1 GALINHEIRO 1 CURR,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",,
534598,53,108,5,7,1,6,1 COLONIA BIBLICA DE FERIAS ICEA,,,
550146,35,27207,5,0,1,6,1 COMPANHIA DE POLICIA MILITAR DO 23 BPM,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
351556,50,5004,5,0,1,6,1 DELEGACIA DE ATENDIMENTO A MULHER,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
564275,35,11102,5,0,1,6,1 DP CATANDUA,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
172900,43,22707,5,0,2,3,1 ESTUFA DE FUMO,INDÚSTRIAS DE TRANSFORMAÇÃO,,
564494,43,22707,5,0,2,3,1 ESTUFA DE RITZEL,INDÚSTRIAS DE TRANSFORMAÇÃO,,
10268,43,22707,5,0,2,3,1 ESTUFA E 1 GALPAO DE FUMO,INDÚSTRIAS DE TRANSFORMAÇÃO,,
372626,15,3093,5,0,2,3,1 FAZ APOIS A FAZ AD,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",,
86261,15,3093,5,0,2,3,1 FAZ APOIS A FAZ LAGO VERDE,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",,
58427,29,23803,5,0,2,3,1 FAZENDA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",,
5624,43,14076,5,0,2,3,1 FORNO E 1 GALPAO,,,
514969,29,23803,5,0,2,3,1 GALINHEIRO 1 CERCADO DE OVELHAS 1 CHIQ,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",,
495674,29,23803,5,0,2,3,1 GALINHEIRO 1 CERCADO DE OVELHAS 1 CURR,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",,
504298,43,6056,15,0,2,3,1 GALPAO,,,
514220,43,14076,5,0,2,3,1 GALPAO E 1 FORNO,,,
221683,28,6404,5,0,1,6,1 IGREJA BATISTA,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
463014,12,401,5,0,1,6,1 IGREJA BATISTA CANAAN,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
110158,33,4557,5,17,1,6,1 IGREJA BATISTA DE PIEDADE,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
108605,33,2502,20,0,1,6,1 IGREJA BATISTA NO BAIRRO SAMPAIO,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
353952,33,4557,5,22,1,6,1 IGREJA BATISTA VILA ALIANCA,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
370347,15,3705,5,0,2,6,1 IGREJA CATOLICA E 1 REFEITORIO,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
388665,41,27106,5,0,1,6,1 IGREJA DO EVANGELHO QUADRANGULAR,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
40088,52,258,5,0,1,6,1 IGREJA PETENCOSTAL DO7 DIA DA NOVA ALI,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
384611,53,108,5,18,1,6,1 IGREJA PRESBITERIANA EM SAMAMBAIA,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
238361,42,13500,5,0,1,6,1 IGREJA VAGO,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
110239,31,69307,5,0,2,6,1 MAQUINA DE BENEFICIAR CAFE,,,
111017,42,2875,5,0,2,3,1 PAIOL 1 POSILGA,,,
23979,42,2875,5,0,1,3,1 PAIOL DE MILHO,,,
348022,41,18204,5,0,1,6,1 REGIONAL DE SAUDE,SAÚDE HUMANA E SERVIÇOS SOCIAIS,,
442522,27,4104,5,0,2,3,1 SALAO E UM CURADOR E UM XIQUEIRO DE AV,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",,
550946,35,43402,5,0,1,6,1 SGB PB CAMPOS ELISEOS,,,
84892,31,43005,5,0,1,6,1 TABELIONATO DE NOTAS,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",,
215888,41,18204,5,0,1,6,1 TABELIONATO NOTAS E PROTESTOS DE TITUL,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",,
519066,29,31350,5,0,1,6,1 TOPA TUDO MONTAGEM E ASSISTENCIA TECNI,,,
98846,24,8102,5,7,1,6,10 DISTRITO POLICIAL PLANTAO ZONA SUL,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
440378,21,10401,5,0,1,6,100 MODAS,,,
165270,21,436,5,0,1,6,100 NOME,,,
452488,53,108,5,7,1,6,100 POR CENTO PESCA,,,
204420,35,52205,5,0,1,6,100 PORCENTO COLCOES,,,
119279,35,1608,5,0,1,6,100 VIDEO,,,
258727,43,16907,5,13,1,6,1000 COISAS,,,
499665,27,300,5,0,1,6,1000 DETALHES,,,
525754,17,2208,5,0,1,6,1000 MILHAS ACESSORIOS,,,
326697,24,8102,5,8,1,6,1001 RODAS COMERCIO DE PNEUS,,,
206340,35,50308,74,0,1,6,1001 UTILIDADES,,,
572049,29,25600,5,0,1,6,101 NEWS FM,,,
218216,35,49409,5,0,1,6,107A CIRETRAN,,,
562614,33,3401,27,0,1,6,11 BPM,,,
352754,50,2704,5,6,1,6,11 SALAS COMERCIAIS,,,
223281,53,108,5,6,2,6,11 SUP 2 CIA SUP,,,
346498,41,1903,5,0,1,6,123 MODA INFANTIL,,,
320999,35,50308,12,0,1,6,13 CARTORIO DO BUTANTAN,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,,
457685,17,13205,5,0,1,6,13 DP POLICIA,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
88516,32,2454,5,0,1,6,14 BATALHAO POLICIA MILITAR,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
422613,35,9601,5,0,1,4,15 DE OUTUBRO,,,
23849,41,8304,5,0,1,6,15 IGREJA DO EVANGELHO QUADRANGULAR,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
99522,26,14303,5,0,1,6,152JUNTA DE SERVICO MILITAR,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
198791,35,50308,75,0,1,6,15602 MERCADO,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",,
503829,50,4007,5,0,1,6,16 BATALHAO DA POLICIA MILITAR,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
466826,29,31103,5,0,1,6,16 BPM,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
286265,35,50308,48,0,1,6,16NOV EMPRESA DESATIVADA,DESOCUPADO,,
211747,41,25506,5,0,1,6,17 BATALHAO POL M PARANA,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
108934,41,6407,5,0,1,6,18 BATALHAO DA POLICIA CIIL,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
450656,43,22202,5,0,2,3,1GALPAO DE FUMO 2FORNO DE FUMO1SALA DE O,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
572024,43,17400,5,0,1,6,1GGEJA,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
157348,51,6232,5,0,1,6,1GREJA,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
506635,31,6200,25,61,1,6,1GREJA EVANGELICA HA PAZ EM JESUS,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
566453,31,6705,5,6,1,6,1GREJA EVANI ALIACA CELESTE,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
167541,31,29806,10,0,1,6,1IGREJA BATISTA NO IPIRATININGA,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
66127,35,15509,5,0,1,5,1NCOR,,,
444921,31,5608,5,0,1,6,1SALAO DE DEPILACAO,,,
55643,33,5158,5,0,1,6,2 ANDAR DA CONTABILIDADE,,,
404411,42,4400,5,0,2,3,2 AVIARIO ESTREVARIA,,,
224908,41,16703,10,0,2,3,2 AVIARIOS,,,
466206,43,18614,5,0,2,3,2 AVIARIOS 4 CHIQUEITOES,,,
519794,29,18753,5,0,2,6,2 BAR DO ROQUE,,,
170374,41,16307,5,0,2,3,2 BARRACAO AVICULTURA DE CORTE,,,
502227,41,16307,5,0,2,3,2 BARRACAO DE AVICULTURA DE CORTE,,,
154142,31,28709,5,0,2,3,2 BARRACAO SECADOR 2,,,
510259,31,53400,5,0,2,6,2 BARRACOES PARA ARMAZENAR A PRODUCAO,,,
206511,42,9102,5,0,1,6,2 BASE POLICIA MILIAR,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
95016,35,44400,5,0,1,6,2 BATALHAO DA POLICIA MILITAR,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
394042,53,108,5,8,1,6,2 BATALHAO DE INCENDIO DE TAGUATINGA,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
384150,22,11001,5,6,1,6,2 BEC QUARTEL,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
230842,35,50308,66,0,1,6,2 CARTORIO DE NOTAS,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,,
540394,35,35507,5,0,1,6,2 COMUNIDADE EVANGELICA CRISTO VIVE,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",,
205277,27,8600,5,0,1,6,2 COORDENADORIA,,,
516206,27,4104,5,0,2,3,2 DEPOSITOS,,,
230270,35,43402,5,0,1,6,2 DISTRITO POLICIAL,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
264768,35,22406,5,0,1,6,2 DISTRITO POLICIAL DE ITAPEVA,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
200515,43,22707,5,0,2,3,2 ESTUFAS E1 GALPAO,,,
250002,43,14076,5,0,2,3,2 FORNOS 1 GALPAO,,,
47031,42,4400,5,0,2,3,2 GALPAO DE FUMO,,,
