order,id,urban_rural,landuse_id,landuse_description,label,lenient_hit,anotador1,anotador2,hit,clf,ambiguous,match_annotations,classes
941,8173476,1,6,academia musculacao,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",TRUE,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",TRUE,lr,,TRUE,"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS"
948,8436058,1,6,ACADEMIA TAEKWONDO,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",TRUE,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",TRUE,snorkel,,TRUE,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
912,9881472,1,6,acessorios para casa,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,FALSE,- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO,- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO,FALSE,rf,,TRUE,- TRANSPORTE TERRESTRE
332,4900255,1,6,acismig associacao comercal,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",FALSE,OUTRAS ATIVIDADES DE SERVIÇOS,OUTRAS ATIVIDADES DE SERVIÇOS,FALSE,bert,,TRUE,- TRANSPORTE AQUAVIÁRIO
1718,677408,1,6,acougue boi gordo2,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO","- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,rf,,TRUE,- TRANSPORTE AÉREO
255,3457202,1,6,ACOUGUE CARNEIRO,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO","- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,snorkel,,TRUE,- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
242,5291629,1,6,acougue casa de carnes tio joao,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO","- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,lr,,TRUE,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA
274,5271035,1,6,ACOUGUE DO MANELAO,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO","- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,snorkel,,TRUE,- ALOJAMENTO
244,6093505,1,6,ACOUGUE DO RIO,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO","- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,snorkel,,TRUE,- ALIMENTAÇÃO
247,7499198,1,6,acougue jd santa maria,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO","- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,lr,,TRUE,INFORMAÇÃO E COMUNICAÇÃO
279,6272445,1,6,acougue santo antonio,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO","- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,lr,,TRUE,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS"
277,6865659,1,6,administracao aeroporto estadual de cps,- TRANSPORTE AÉREO,TRUE,- TRANSPORTE AÉREO,- TRANSPORTE AÉREO,TRUE,svc,S,TRUE,ATIVIDADES IMOBILIÁRIAS
706,1781846,2,6,adubeira,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",TRUE,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",TRUE,bert,,TRUE,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
1636,803642,1,6,AEREO PUBLICIDADE,- TRANSPORTE AÉREO,FALSE,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",FALSE,snorkel,,TRUE,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
684,10661860,2,6,aeroclube,- TRANSPORTE AÉREO,TRUE,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",FALSE,rf,S,TRUE,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
692,10727671,2,6,aerodromo,- TRANSPORTE AÉREO,TRUE,- TRANSPORTE AÉREO,- TRANSPORTE AÉREO,TRUE,bert,,TRUE,EDUCAÇÃO
2001,6648733,2,6,aeromodelismo,- TRANSPORTE AÉREO,FALSE,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",FALSE,bert,,TRUE,SAÚDE HUMANA E SERVIÇOS SOCIAIS
2007,8951547,1,6,aeroporo jose cleto,- TRANSPORTE AÉREO,TRUE,- TRANSPORTE AÉREO,- TRANSPORTE AÉREO,TRUE,bert,,TRUE,"ARTES, CULTURA, ESPORTE E RECREAÇÃO"
2002,10661913,2,6,aeroporto,- TRANSPORTE AÉREO,TRUE,- TRANSPORTE AÉREO,- TRANSPORTE AÉREO,TRUE,svc,,TRUE,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS
2006,10787039,1,6,aeroporto andre maggi,- TRANSPORTE AÉREO,TRUE,- TRANSPORTE AÉREO,- TRANSPORTE AÉREO,TRUE,lr,,TRUE,OUTRAS ATIVIDADES DE SERVIÇOS
704,5089322,1,6,aeroporto baunilha,- TRANSPORTE AÉREO,TRUE,- TRANSPORTE AÉREO,- TRANSPORTE AÉREO,TRUE,lr,,TRUE,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS"
718,205232,2,6,aeroporto da comara,- TRANSPORTE AÉREO,TRUE,- TRANSPORTE AÉREO,- TRANSPORTE AÉREO,TRUE,svc,,TRUE,DESOCUPADO
714,229184,1,6,AEROPORTO EDUARDO GOMES,- TRANSPORTE AÉREO,TRUE,- TRANSPORTE AÉREO,- TRANSPORTE AÉREO,TRUE,snorkel,,TRUE,NÃO DEFINIDO
720,10348899,1,6,aeroporto fernando ferrari,- TRANSPORTE AÉREO,TRUE,- TRANSPORTE AÉREO,- TRANSPORTE AÉREO,TRUE,rf,,TRUE,OBRAS
710,319496,1,6,aeroporto municipal julio belem,- TRANSPORTE AÉREO,TRUE,- TRANSPORTE AÉREO,- TRANSPORTE AÉREO,TRUE,rf,,TRUE,
717,8869787,1,6,aeroporto municipal paulo abdala,- TRANSPORTE AÉREO,TRUE,- TRANSPORTE AÉREO,- TRANSPORTE AÉREO,TRUE,svc,,TRUE,
686,11174772,1,6,aeroporto santa genoveva,- TRANSPORTE AÉREO,TRUE,- TRANSPORTE AÉREO,- TRANSPORTE AÉREO,TRUE,svc,,TRUE,
696,8460100,1,6,aeroporto veiculos,- TRANSPORTE AÉREO,TRUE,- TRANSPORTE AÉREO,- TRANSPORTE AÉREO,TRUE,lr,,TRUE,
691,3768351,1,6,aeroporto vicente grilo,- TRANSPORTE AÉREO,TRUE,- TRANSPORTE AÉREO,- TRANSPORTE AÉREO,TRUE,rf,,TRUE,
703,8510303,1,6,agencia bancaria,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",TRUE,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",TRUE,svc,,TRUE,
708,5422837,1,6,agencia bancaria do banco do itau,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",TRUE,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",TRUE,rf,,TRUE,
715,4553404,1,6,agencia central de correios,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,svc,,TRUE,
693,11124584,1,6,agencia correios,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,rf,,TRUE,
1020,1727854,1,6,agencia da guanabarra,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,TRUE,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,TRUE,lr,,TRUE,
1006,7690568,1,6,AGENCIA DE CORREIOS,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,snorkel,,TRUE,
670,8926517,1,6,agencia de credito caza,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,FALSE,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",FALSE,rf,,TRUE,
655,10276771,1,6,agencia de emprestimos,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,FALSE,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",FALSE,lr,,TRUE,
666,7851647,1,6,agencia de modelos,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,TRUE,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,TRUE,svc,,TRUE,
1969,11450040,1,6,agencia de propaganda,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,FALSE,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",FALSE,svc,,TRUE,
990,7833819,1,6,agencia de publicidade cavassani intr,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,FALSE,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",FALSE,lr,,TRUE,
645,7893528,1,6,agencia de telemarketing,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,FALSE,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",FALSE,rf,,TRUE,
969,10163019,1,6,agencia de viagens e turismo,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,TRUE,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,TRUE,lr,,TRUE,
984,2458255,1,6,agencia do trabalho,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,FALSE,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,FALSE,rf,,TRUE,
979,353051,1,6,agencia dos  correios,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,svc,,TRUE,
974,11303376,1,6,agencia dos correios,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,lr,,TRUE,
982,11335548,1,6,AGENCIA FRANQUEADA DOS CORREIOS,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,snorkel,,TRUE,
970,6431935,1,6,agencia kautry som car,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,FALSE,NÃO DEFINIDO,NÃO DEFINIDO,FALSE,svc,,TRUE,
981,10234283,1,6,agencia publicidade,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",FALSE,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",FALSE,bert,,TRUE,
659,9676228,1,6,agencia turismo,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,TRUE,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,TRUE,lr,,TRUE,
664,3453104,1,6,AGENCIAS CORREIOS E TELEGRAFOS,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,snorkel,,TRUE,
677,11468168,1,6,agencias do correios,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,rf,,TRUE,
641,1092330,1,6,agengia dos correios,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,TRUE,svc,,TRUE,
977,6849113,1,6,agente de cargas,- TRANSPORTE TERRESTRE,FALSE,- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,FALSE,svc,,TRUE,
1882,773635,1,6,agespisa,"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",FALSE,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO","ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",FALSE,bert,,TRUE,
988,498065,2,3,agricola,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",TRUE,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",TRUE,svc,,TRUE,
643,8507030,2,3,agropecuario,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",TRUE,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",TRUE,svc,,TRUE,
651,114378,2,6,alanbique,- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO,FALSE,INDÚSTRIAS DE TRANSFORMAÇÃO,INDÚSTRIAS DE TRANSFORMAÇÃO,FALSE,bert,,TRUE,
663,1763419,1,6,alcolicos anonimos aeroporto,- TRANSPORTE AÉREO,FALSE,SAÚDE HUMANA E SERVIÇOS SOCIAIS,SAÚDE HUMANA E SERVIÇOS SOCIAIS,FALSE,rf,S,TRUE,
777,8100673,1,6,ALEXPRESS AGENCIAMENTO AEREO,- TRANSPORTE AÉREO,TRUE,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,FALSE,snorkel,,TRUE,
1876,8654342,1,6,alimentos e bebidas,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO","- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",TRUE,bert,,TRUE,
859,10104719,1,6,almocherifado da balsa,- TRANSPORTE AQUAVIÁRIO,TRUE,- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,FALSE,svc,S,TRUE,
857,618114,2,6,alojamento,- ALOJAMENTO,TRUE,- ALOJAMENTO,- ALOJAMENTO,TRUE,bert,,TRUE,
1697,3248579,2,6,alojamento de animais,- ALOJAMENTO,TRUE,- ALOJAMENTO,- ALOJAMENTO,TRUE,svc,,TRUE,
700,3332442,2,6,alojamento sem morador,- ALOJAMENTO,FALSE,DESOCUPADO,DESOCUPADO,FALSE,svc,S,TRUE,
688,11262089,1,6,ALPHA LOJA DE CONVENIENCIA,- COMÉRCIO VAREJISTA,TRUE,- - COMÉRCIO VAREJISTA NÃO ESPECIALIZADO,- - COMÉRCIO VAREJISTA NÃO ESPECIALIZADO,FALSE,snorkel,,TRUE,
1713,9472711,2,3,alto alegre,NÃO DEFINIDO,TRUE,NÃO DEFINIDO,NÃO DEFINIDO,TRUE,bert,,TRUE,
744,73420,1,6,alto pecas,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,TRUE,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,TRUE,rf,,TRUE,
1902,6171572,1,6,ALUGA SE,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,FALSE,DESOCUPADO,DESOCUPADO,FALSE,snorkel,,TRUE,
468,8550117,1,6,aluguel de automoveis,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,TRUE,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,TRUE,bert,,TRUE,
463,1892466,1,6,ALUGUEL DE MESAS DE ANIERSARIO KIDS FEST,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,TRUE,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,TRUE,snorkel,,TRUE,
608,4738460,1,6,aluguel de vestidos,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,TRUE,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,TRUE,rf,,TRUE,
1861,1789546,1,6,amauri domingues imoveis,ATIVIDADES IMOBILIÁRIAS,TRUE,ATIVIDADES IMOBILIÁRIAS,ATIVIDADES IMOBILIÁRIAS,TRUE,bert,,TRUE,
